id;date;partner;use_case;status;fallback_reason;nb_notifications;nb_device_delivered
1;2022-01-24;migration PCI;drive;Profit-focused;online Computer;17314;2939
2;2022-01-23;Fords;black;implement Louisiana Refined;integrate;26474;27987
3;2022-01-23;initiatives;magenta open-source;Pants Ergonomic;Practical Garden;49797;30540
4;2022-01-23;Functionality;invoice;Avon generating;Agent;26848;16969
5;2022-01-24;Avon dynamic;gold;Cambridgeshire;intangible Kansas;86306;11033
6;2022-01-23;Home composite index;Borders hacking;Colombian enable vertical;Intelligent;60320;23109
7;2022-01-23;proactive;Officer Business-focused Fantastic;TCP Global Integration;olive Loan copying;18817;12238
8;2022-01-24;attitude synthesize;Diverse;orchid Infrastructure ivory;capacitor card mesh;48927;39861
9;2022-01-23;THX invoice;backing Streets bifurcated;transitional;yellow;38437;18808
10;2022-01-24;interface Pa'anga Unbranded;Fish hack;invoice;Estate Euro Islands;69514;43404
