id;date;event_type;langue;nb_messages;event_label;channel
1;2022-01-23;Borders Dynamic CSS;Kong needs-based Mandatory;51881;Cotton Re-contextualized Planner;Marks Court
2;2022-01-23;Senior Uruguay Program;AI Centralized;78038;generating bricks-and-clicks Programmable;Fish
3;2022-01-24;whiteboard (Keeling) Wooden;invoice;54163;Buckinghamshire;Berkshire functionalities tan
4;2022-01-24;mobile;invoice;88796;deposit national Shoes;bleeding-edge
5;2022-01-24;copy infomediaries;Global integrate generating;18181;Colorado Arkansas green;Baby payment
6;2022-01-23;Group;Bedfordshire Business-focused XML;61775;Inverse invoice;Mobility Refined fresh-thinking
7;2022-01-23;array;online array SDD;53167;copy Wooden;feed Checking
8;2022-01-23;South panel invoice;navigating;1292;Chicken Customizable Awesome;Circles Engineer up
9;2022-01-23;Indiana Infrastructure;Diverse Pants;32201;Pants Reverse-engineered Wooden;payment
10;2022-01-23;Rubber Granite Mouse;invoice throughput Loan;34461;Chips;Honduras Metical
